,Index,Node,Nbr_Node,Nbr_Count,Hello_Cnt,AODV_Msg_Nbr_Cnt,RREQs_Sent_To_Nbr,RREQs_From_Nbr,Nbr_Is_Orig_Cnt,Nbr_Never_Orig,Nbr_Is_Dest_Cnt,Nbr_Never_Dest,All_RREPs_Rcvd_This_Node,RREPs_From_Nbr,RREP_Resp_Pct,Pct_Of_All_RREPs,Hop_Cnt_Over_1_Cnt,Hop_Cnt_Over_1_Pct,High_Dest_Seq_Num_Inc_Cnt,High_Dest_Seq_Num_Inc_Pct,Avg_Resp_Dly,Avg_Resp_Dly_Per_Hop,RERRs_From_Nbr,RERRs_From_Nbr_Pct,Pct_of_All_Nbrs,RREP_To_Nbrs_Ratio,Black_Hole_Node
0,1,10.1.1.0,10.1.1.45,44,25,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
1,2,10.1.1.0,10.1.1.2,44,56,127,181,56,0,TRUE,0,TRUE,621,54,29.83,8.695652174,41,75.93,0,0,3.525607611,0.946356766,17,31.48,2.27,3.830683777,FALSE
2,3,10.1.1.0,10.1.1.1,44,151,262,181,149,5,FALSE,0,TRUE,621,69,38.12,11.11111111,31,44.93,0,0,1.826252275,0.649025119,44,63.77,2.27,4.894762604,FALSE
3,4,10.1.1.0,10.1.1.3,44,42,158,181,0,0,TRUE,0,TRUE,621,181,100,29.14653784,0,0,181,100,1.357564881,0.553014783,0,0,2.27,12.83988451,TRUE
4,5,10.1.1.0,10.1.1.31,44,24,49,181,24,0,TRUE,0,TRUE,621,15,8.287292818,2.415458937,8,53.33,0,0,0.502172667,0.199722372,10,66.67,2.27,1.064078827,FALSE
5,6,10.1.1.0,10.1.1.12,44,7,0,181,0,0,TRUE,0,TRUE,621,181,100,29.14653784,0,0,181,100,,,0,0,2.27,12.83988451,TRUE
6,7,10.1.1.0,10.1.1.41,44,8,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
7,8,10.1.1.0,10.1.1.50,44,8,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
8,9,10.1.1.0,10.1.1.27,44,41,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
9,10,10.1.1.0,10.1.1.18,44,30,20,181,14,10,FALSE,0,TRUE,621,3,1.657458564,0.483091787,1,33.33,0,0,0.956295333,0.40715725,3,100,2.27,0.212815765,FALSE
10,11,10.1.1.0,10.1.1.21,44,9,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
11,12,10.1.1.0,10.1.1.44,44,11,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
12,13,10.1.1.0,10.1.1.11,44,8,0,181,0,0,TRUE,0,TRUE,621,0,0,0,0,,0,,,,0,,2.27,0,FALSE
13,14,10.1.1.0,10.1.1.43,44,14,12,181,7,0,TRUE,0,TRUE,621,3,1.657458564,0.483091787,2,66.67,0,0,0.012493,0.005030167,2,66.67,2.27,0.212815765,FALSE
