iter	Passed	Remaining
0	160	160133
1	164	82275
2	168	56069
3	172	42844
4	175	34889
5	178	29541
6	180	25663
7	183	22782
8	186	20501
9	188	18660
10	190	17142
11	193	15892
12	195	14821
13	197	13912
14	199	13127
15	202	12441
16	204	11837
17	207	11296
18	209	10805
19	211	10374
20	214	9983
21	216	9627
22	218	9298
23	221	8994
24	223	8711
25	225	8458
26	228	8221
27	230	8000
28	232	7769
29	234	7575
30	236	7394
31	238	7226
32	241	7070
33	243	6921
34	246	6783
35	248	6659
36	251	6534
37	253	6416
38	255	6307
39	258	6201
40	260	6101
41	263	6007
42	265	5913
43	268	5827
44	270	5744
45	273	5663
46	275	5584
47	277	5510
48	280	5441
49	282	5373
50	285	5310
51	288	5250
52	290	5191
53	292	5132
54	295	5077
55	297	5021
56	300	4972
57	303	4923
58	305	4874
59	308	4829
60	310	4786
61	313	4742
62	316	4700
63	318	4658
64	321	4619
65	323	4581
66	326	4542
67	328	4501
68	331	4466
69	333	4432
70	336	4396
71	338	4365
72	340	4322
73	343	4294
74	345	4265
75	348	4237
76	351	4211
77	353	4183
78	356	4156
79	359	4129
80	361	4102
81	364	4077
82	366	4051
83	369	4025
84	371	4000
85	374	3978
86	377	3956
87	379	3932
88	382	3911
89	384	3891
90	387	3870
91	390	3849
92	392	3830
93	395	3811
94	398	3792
95	400	3772
96	403	3753
97	405	3735
98	408	3716
99	410	3698
100	413	3682
101	416	3665
102	419	3649
103	421	3633
104	424	3614
105	426	3599
106	429	3584
107	431	3567
108	434	3551
109	437	3540
110	440	3525
111	442	3510
112	445	3496
113	448	3481
114	450	3468
115	453	3455
116	456	3441
117	458	3428
118	461	3414
119	463	3402
120	466	3389
121	469	3380
122	472	3369
123	475	3357
124	478	3346
125	480	3333
126	483	3322
127	486	3312
128	489	3302
129	491	3290
130	494	3280
131	497	3270
132	500	3261
133	503	3252
134	506	3242
135	509	3234
136	511	3225
137	514	3216
138	517	3207
139	520	3197
140	523	3188
141	526	3179
142	529	3170
143	531	3161
144	534	3151
145	537	3143
146	540	3136
147	543	3128
148	546	3120
149	549	3111
150	552	3104
151	554	3096
152	557	3088
153	560	3080
154	563	3073
155	566	3065
156	569	3056
157	571	3047
158	574	3039
159	577	3030
160	580	3022
